city,latitude,longitude
Ad Durayhimi,14.63702,43.05505
Ad-Damazin,11.7891,34.3592
Ada,45.8025,20.12583
Ada,34.77453,-96.67834
Ada,47.29969,-96.51535
Ada,40.7695,-83.82271
Adacs,47.6921,19.97696
Adahuesca,42.1461,-0.00804
Adairsville,34.3687,-84.93411
Adakli,39.2262,40.48283
Adala,38.57757,28.26847
Adalaj,23.16453,72.58107
Adalan,40.8759,29.0894
Adalar,40.86778,29.13306
Adalia,41.64894,-5.12107
Adam,22.3756,57.52334
Adamantina,-21.68528,-51.0725
Adamas,36.72506,24.44685
Adamclisi,44.08333,27.95
Adamov,49.30162,16.65253
Adamovka,51.5223,59.9396
Adamow,51.74335,22.26414
Adamowka,50.25857,22.69595
Adampur,31.43224,75.71484
Adams,18.46667,120.9
Adams,42.62425,-73.1176
Adams,43.80923,-76.02409
Adams,43.95608,-89.81818
Adams Center,43.86006,-76.00548
Adamstown,-25.06597,-130.10147
Adamstown,39.31094,-77.47471
Adamstown,40.2412,-76.05633
Adamsville,35.23591,-88.3906
Adamsville,33.60094,-86.95611
Adamus,46.3,24.23333
Adamuz,38.02674,-4.52231
Adana,37.00167,35.32889
Adanca,44.9225,25.61005
Adancata,47.73333,26.3
Adancata,44.76667,26.43333
Adand,46.85931,18.16442
Adanero,40.94487,-4.60561
Adani,6.73971,7.01117
Adapazari,40.78056,30.40333
Adar,30.14111,-8.37221
Adare,52.56194,-8.79556
Adaseni,48.0692,26.93789
Adassil,31.10783,-8.49083
Adaufe,41.58732,-8.39817
Adazi,57.07583,24.32139
Adda-Doueni,-12.2925,44.49722
Addanki,15.80994,79.97311
Adderbury,52.0169,-1.31192
Addiet Canna,11.26667,37.48333
Addingham,53.94452,-1.88424
Addis,30.3538,-91.26539
Addis Ababa,9.02497,38.74689
Addison,32.96179,-96.82917
Addison,41.9317,-87.98896
Addison,42.10285,-77.23359
Addlestone,51.37135,-0.49353
Adea,46.55511,21.58433
Adeane,12.63,-16.01694
Adeje,28.12271,-16.726
Adel,31.13727,-83.42408
Adel,41.61443,-94.01745
Adela,12.44164,120.97291
Adelaide,-34.92866,138.59863
Adelaide,-32.70747,26.29564
Adelaide Hills,-34.91119,138.70735
Adelanto,34.58277,-117.40922
Adelberg,48.76227,9.59991
Adelboden,46.49142,7.56031
Adelebsen,51.58272,9.75461
Adelfia,41.0033,16.87208
Adelheidsdorf,52.56404,10.06039
Adelia Maria,-33.63152,-64.02097
Adelmannsfelden,48.95476,10.00466
Adelphi,39.00317,-76.97192
Adelschlag,48.83333,11.21667
Adelsdorf,49.71216,10.895
Adelsdorf,49.47022,10.68522
Adelsheim,49.4015,9.3925
Adelshofen,49.43333,10.16667
Adelshofen,48.18333,11.11667
Adelsried,48.41667,10.71667
Adelzhausen,48.35671,11.13851
Ademuz,40.06139,-1.28677
Aden,12.77944,45.03667
Adenau,50.38238,6.93291
Adenbach,49.66667,7.65
Adenbuettel,52.37984,10.45079
Adendorf,53.28189,10.43787
Adendro,40.67131,22.60466
Adenstedt,51.99852,9.93516
Aderklaa,48.28333,16.53333
Adh Dhayd,25.28812,55.88157
Adi Keyh,14.84444,39.37722
Adiake,5.28634,-3.30403
Adigeni,41.68191,42.69867
Adigrat,14.277,39.462
Adikpo,6.89002,9.23351
Adil Makmur,5.19843,96.87015
Adil'-Yangiyurt,43.56328,46.58462
Adilabad,19.67203,78.5359
Adilcevaz,38.79911,42.73159
Adilpur,27.93697,69.31869
Adios,42.68635,-1.73532
Adipala,-7.65972,109.15
Adir,31.20217,35.76155
Adirampattinam,10.34059,79.37905
Adirejo,-8.21201,112.63875
Adis `Alem,9.03333,38.4
Adis Zemen,12.11667,37.78333
Adiwerna,-6.9375,109.1325
Adiyaman,37.76441,38.27629
Adjud,46.1,27.16667
Adjudeni,47.01408,26.94903
Adjudu Vechi,46.13485,27.18891
Adjumani,3.37786,31.7909
Adjuntas,18.16274,-66.72212
Adjuntas del Rio,21.11667,-100.86806
Adlaon,10.3,123.9
Adlay,9.40972,125.8975
Adler,43.42896,39.92391
Adlershof,52.43548,13.54825
Adligenswil,47.06521,8.36124
Adlington,53.61323,-2.60676
Adlington,53.32042,-2.13658
Adliswil,47.30997,8.52462
Adliswil / Adliswil (Stadtkern),47.31128,8.52675
Adliswil / Huendli-Zopf,47.31637,8.51888
Adliswil / Oberleimbach,47.3202,8.51508
Adliswil / Sonnenberg,47.30958,8.52055
Adliswil / Sood,47.3187,8.52425
Adliswil / Tal,47.31142,8.53446
Adlkofen,48.55,12.26667
Admannshagen-Bargeshagen,54.13038,11.99915
Admiralteisky,59.90839,30.28484
Admont,47.57537,14.46075
Adnet,47.68333,13.13333
Ado Odo,6.6,2.93333
Ado-Ekiti,7.62329,5.22087
Adobes,40.67584,-1.67916
Adogo,7.51004,6.4798
Adolfo Lopez Mateos,17.216,-93.47895
Adolfo Lopez Mateos,28.46667,-107.3
Adolfo Lopez Mateos (El Tamarindo),24.89639,-107.63278
Adolfo Moreno,19.72472,-97.23806
Adolfo Ruiz Cortines,25.75,-108.75
Adoni,15.62509,77.27536
Adony,47.1194,18.86493
Ador,38.91823,-0.22247
Adorf,50.32011,12.25986
Adorjan,46.00333,20.04007
Adoru,6.97694,7.16262
Adra,36.74961,-3.02055
Adra,23.49668,86.68363
Adrada de Haza,41.59454,-3.82327
Adrada de Piron,41.05257,-4.05107
Adradas,41.35098,-2.47373
Adrados,41.36816,-4.11186
Adrano,37.66358,14.83283
Adrar,27.87429,-0.29388
Adrara San Martino,45.70228,9.94896
Adrara San Rocco,45.71578,9.95906
Adraskan,33.64573,62.26959
Adrasmon,40.64928,69.98472
Adre,13.46667,22.2
Adria,45.05445,12.05599
Adrian,38.39752,-94.35162
Adrian,41.89755,-84.03717
Adrian,43.63497,-95.9328
Adro,45.62059,9.96159
Adrogue,-34.80041,-58.38384
Adstock,46.05007,-71.08235
Adsubia,38.84819,-0.15324
Adtugan,7.81194,124.85444
Aduard,53.25667,6.45972
Adun Chulu,48.44323,116.18418
Aduna,43.20375,-2.05033
Adunati,45.13333,25.61667
Adunatii-Copaceni,44.25413,26.04929
Aduo,32.93999,95.04943
Aduoen,-10.7965,122.857
Adur,9.16667,76.73333
Aduthurai,11.01542,79.48093
Advance,37.10455,-89.90953
Advance,35.94125,-80.40922
Adwolf,36.78928,-81.58206
Adyge-Khabl',44.33434,41.93922
Adygeysk,44.88414,39.19071
Adzaneta,40.21616,-0.17028
Adzhamka,48.54245,32.53542
Adzope,6.10694,-3.86194
AEaenekoski,62.6,25.73333
Aebtissinwisch,53.96667,9.28333
AEetsae,61.28333,22.68333
Aefeo,-8.7633,121.6739
Aegela,-8.7323,121.3372
Aegina,37.74667,23.4275
AEhtaeri,62.55403,24.06186
Aeka,-10.0874,124.1618
Aelande,-8.59565,121.7252
AElmhult,56.55146,14.13827
AElvdalen,61.22774,14.03935
AElvkarleby,60.57081,17.44895
AElvsbyn,65.67624,21.00162
Aemalu,-8.7657,121.9442
Aemura,-8.8087,121.6685
Aenganyar,-7.1905,113.8969
Aengceleng,-7.7177,114.0741
AEngelholm,56.2428,12.86219
AEroskobing,54.88803,10.41117
Aerzen,52.04953,9.25856
Aesch,47.47104,7.5973
Aesch,47.3297,8.6541
Aeschi,46.65848,7.6965
Aeteke,-8.8,121.9778
Afa,41.98362,8.79469
Afaahiti,-17.75,-149.28333
Afaha Ikot Ebak,5.12504,7.65716
Afaha Offiong,4.86226,7.90626
Afaki,36.66172,69.35095
Afam,4.79004,7.31187
Afanas'yeva,54.63958,100.61755
Afantou,36.29354,28.16225
Afareaitu,-17.55,-149.78333
Afenga,-13.79726,-171.85308
Affalterbach,48.92267,9.32362
Affeltrangen,47.52581,9.03307
Affery,6.32035,-3.95235
Affi,45.55297,10.7864
Affile,41.88435,13.09853
Affing,48.46667,10.98333
Affinghausen,52.78333,8.88333
Affler,50.01667,6.15
Affoltern / Hasenbueel,47.27324,8.45218
Affoltern / Oberdorf,47.27799,8.45041
Affoltern / Sonnenberg,47.28055,8.46008
Affoltern / Unterdorf,47.28257,8.45086
Affoltern am Albis,47.27743,8.45128
Affton,38.55061,-90.33317
Afgooye,2.1381,45.1212
Afidnes,38.20332,23.83982
Afikpo,5.89258,7.93534
Afipskiy,44.90005,38.84265
Aflenz Kurort,47.53333,15.23333
Aflou,34.11279,2.10228
Afogados da Ingazeira,-7.75083,-37.63917
Afon,8.31313,4.52738
Afonino,56.26201,44.09503
Afonso Bezerra,-5.49833,-36.50556
Afonso Claudio,-20.07417,-41.12389
Afor-Oru,5.5411,7.26845
Afragola,40.92298,14.30935
Afration,38.45212,23.68775
Africo Nuovo,38.05067,16.1332
Africo Vecchio,38.06667,15.98333
Afrikanda,67.44289,32.78279
Afsin,38.24769,36.91399
Afton,36.69369,-94.96302
Afton,44.90275,-92.78354
Afton,42.72493,-110.93187
Afua,-0.15667,-50.38667
Afumati,44.51667,26.26667
Afumati,44,23.46667
Afusing Centro,17.8526,121.6269
Afuze,6.96945,6.04254
Afyonkarahisar,38.75667,30.54333
Afytos,40.09915,23.4367
Afzalgarh,29.3937,78.67393
Afzalpur,17.19986,76.36018
Ag-ambulong,11.3684,122.5094
Aga,14.0965,120.80217
Agabeyli,37.73362,37.11625
Agacli,38.51728,40.90401
Agacoren,38.87484,33.91674
Agadez,16.97333,7.99111
